problem,grid,noise,sigma,seed,method,coefficient_error,support_valid,support_exact,tp,fp,fn,precision,recall,f1,optimizer_success,status,iterations,fit_seconds,total_seconds,w
burgers,256,0.0,0.0,0,WSINDy,4.859905623844085e-05,True,True,1,0,0,1.0,1.0,1.0,True,MSTLS support stable,5,0.003029291983693838,0.1845602499670349,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4999757004718808, 0.0, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.0,0.0,0,WENDy HT,0.009805182104276389,True,True,1,0,0,1.0,1.0,1.0,True,IRLS step tolerance,1,0.00015787500888109207,0.18168883299222216,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4950974089478618, 0.0, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.0,0.0,0,WENDy L1=1e-06,0.008618827539883482,True,False,1,8,0,0.1111111111111111,1.0,0.2,True,IRLS step tolerance,14,0.023014250007690862,0.20454520799103193,"[1.613572998706762e-06, 0.0003216220531477252, 0.0, -0.00032008340381657987, 0.0, -0.0012495156512179809, -0.4965258153046865, -0.002172378429368968, 0.0, -9.139153580562592e-05, 5.1577072642368694e-05, 6.050619025900845e-05]"
burgers,256,0.0,0.0,0,WENDy L1=0.0001,0.0006261013249475759,True,False,1,3,0,0.25,1.0,0.4,True,IRLS step tolerance,2,0.0021775420173071325,0.1837085000006482,"[4.639451998911916e-06, 0.0, 0.0, 0.0, 0.0, -0.00017422381563135858, -0.4997401301839182, 0.0, 0.0, 0.0, 0.0, 9.64020315651037e-06]"
burgers,256,0.0,0.0,0,WENDy L1=0.01,0.018211413897390435,True,False,1,2,0,0.3333333333333333,1.0,0.5,True,IRLS step tolerance,2,0.00083833301323466,0.18236929099657573,"[0.00018675101985958975, 0.0, 0.0, 0.0, 0.0, 0.0, -0.49126783139732244, -0.0025745396843921482, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.0,0.0,0,WENDy-MLE HT,0.009805182104276389,True,True,1,0,0,1.0,1.0,1.0,True,IRLS step tolerance,1,8.479200187139213e-05,0.18161574998521246,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4950974089478618, 0.0, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.0,0.0,0,WENDy-MLE L1=1e-06,0.008618827539883482,True,False,1,8,0,0.1111111111111111,1.0,0.2,True,IRLS step tolerance,14,0.022345292003592476,0.20387624998693354,"[1.613572998706762e-06, 0.0003216220531477252, 0.0, -0.00032008340381657987, 0.0, -0.0012495156512179809, -0.4965258153046865, -0.002172378429368968, 0.0, -9.139153580562592e-05, 5.1577072642368694e-05, 6.050619025900845e-05]"
burgers,256,0.0,0.0,0,WENDy-MLE L1=0.0001,0.0006261013249475759,True,False,1,3,0,0.25,1.0,0.4,True,IRLS step tolerance,2,0.002211125014582649,0.18374208299792372,"[4.639451998911916e-06, 0.0, 0.0, 0.0, 0.0, -0.00017422381563135858, -0.4997401301839182, 0.0, 0.0, 0.0, 0.0, 9.64020315651037e-06]"
burgers,256,0.0,0.0,0,WENDy-MLE L1=0.01,0.018211413897390435,True,False,1,2,0,0.3333333333333333,1.0,0.5,True,IRLS step tolerance,2,0.0008406669949181378,0.1823716249782592,"[0.00018675101985958975, 0.0, 0.0, 0.0, 0.0, 0.0, -0.49126783139732244, -0.0025745396843921482, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,0,WSINDy,0.0001456361979466081,True,True,1,0,0,1.0,1.0,1.0,True,MSTLS support stable,3,0.0026283749903086573,0.18204729197896086,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5000728180989733, 0.0, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,0,WENDy HT,0.01926415272522186,True,True,1,0,0,1.0,1.0,1.0,True,IRLS step tolerance,4,0.9478011250030249,1.1272200419916771,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.49036792363738907, 0.0, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,0,WENDy L1=1e-06,0.03485012097545118,True,False,1,8,0,0.1111111111111111,1.0,0.2,True,IRLS step tolerance,14,0.9175754169991706,1.0969943339878228,"[8.872940335654636e-06, 0.00028767865415393895, 0.0, -0.0003611470336674334, 0.0, -0.006425368980054594, -0.4864788038614, -0.007054117082214683, 0.0, 0.0012555577660606785, -0.00435055225631733, 0.0030078328555702733]"
burgers,256,0.01,0.00699701718041512,0,WENDy L1=0.0001,0.015245917146003546,True,False,1,4,0,0.2,1.0,0.3333333333333333,True,IRLS step tolerance,4,0.8949992079869844,1.0744181249756366,"[0.0, 0.0, 0.0, -2.4344664731044693e-05, 0.0, -0.0025427231618870435, -0.49377439259678435, -0.0035895942007254347, 0.0, -9.465735488335493e-06, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,0,WENDy L1=0.01,0.027367459788386287,True,False,1,2,0,0.3333333333333333,1.0,0.5,True,IRLS step tolerance,4,0.9023462499899324,1.0817651669785846,"[0.0002610126440703667, 0.0, 0.0, 0.0, 0.0, 0.0, -0.48777236180214995, -0.006136872193499616, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,0,WENDy-MLE HT,0.01936418276042673,True,True,1,0,0,1.0,1.0,1.0,False,A bad approximation caused failure to predict improvement.,3,0.9350315000046976,1.1144504169933498,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.49031790861978664, 0.0, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,0,WENDy-MLE L1=1e-06,0.05918064515966343,True,False,1,9,0,0.1,1.0,0.18181818181818182,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,1.023055709025357,1.2024746260140091,"[4.3660491216640974e-07, -0.005986376559006827, 0.02204056852745636, -0.016121042021074436, 0.0, -0.004139857210771814, -0.49632084034521085, 0.0005522272821579567, 0.0, 0.0023014667664916916, -0.006444231357825411, 0.0040337790581894345]"
burgers,256,0.01,0.00699701718041512,0,WENDy-MLE L1=0.0001,0.02024719840845994,True,False,1,5,0,0.16666666666666666,1.0,0.2857142857142857,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,65,1.0852326669846661,1.2646515839733183,"[0.0, 0.0, -2.4450275134777262e-06, -2.3676741619650434e-05, 0.0, -0.003246905250621283, -0.49175871004436594, -0.00490156529726102, 0.0, -9.903482824155177e-06, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,0,WENDy-MLE L1=0.01,0.03380828342332052,True,False,1,3,0,0.25,1.0,0.4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,1.0287206250068266,1.2081395419954788,"[0.0003801851007858685, 0.0, 0.0, 0.0, 0.0, -0.0009000486008991486, -0.48505074801412845, -0.00783040509015771, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,1,WSINDy,0.00024391035236681624,True,True,1,0,0,1.0,1.0,1.0,True,MSTLS support stable,6,0.002612832991871983,0.18205933296121657,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5001219551761834, 0.0, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,1,WENDy HT,0.01981822268581146,True,True,1,0,0,1.0,1.0,1.0,True,IRLS step tolerance,5,0.9242826669942588,1.1037291669636033,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.49009088865709427, 0.0, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,1,WENDy L1=1e-06,0.03176359853974981,True,False,1,8,0,0.1111111111111111,1.0,0.2,True,IRLS step tolerance,12,0.9476774590148125,1.127123958984157,"[-5.666766486595998e-05, 0.001374402584114466, 0.0, -0.0013460013228187586, 0.0, -0.004876470364798336, -0.48744909589914076, -0.007751774395388835, 0.0, 0.0003899865743728049, -0.002054611415521668, 0.0016610099212216697]"
burgers,256,0.01,0.00699701718041512,1,WENDy L1=0.0001,0.0004238130005743674,True,False,1,3,0,0.25,1.0,0.4,True,IRLS step tolerance,7,0.927179124992108,1.1066256249614526,"[-2.7953320045103813e-05, 0.0, 0.0, 0.0, 0.0, -0.00018906523294016226, -0.49990847413019046, 0.0, 0.0, 0.0, 0.0, 5.741178517562583e-07]"
burgers,256,0.01,0.00699701718041512,1,WENDy L1=0.01,0.02785458739466748,True,False,1,2,0,0.3333333333333333,1.0,0.5,True,IRLS step tolerance,4,0.9266485839907546,1.1060950839600991,"[0.00022840620899955113, 0.0, 0.0, 0.0, 0.0, 0.0, -0.48766542710797567, -0.0064634086909943315, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,1,WENDy-MLE HT,0.0198996346688054,True,True,1,0,0,1.0,1.0,1.0,True,Optimization terminated successfully.,3,0.9442162910127081,1.1236627909820527,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4900501826655973, 0.0, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,1,WENDy-MLE L1=1e-06,0.0960829081530226,True,False,1,9,0,0.1,1.0,0.18181818181818182,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,90,1.1888177919900045,1.368264291959349,"[-6.206153269601383e-05, -0.010907406184447401, 0.03804750655377407, -0.02710451079091562, 0.0, -0.001758374624725337, -0.4983025998736448, -2.5610460634695566e-07, 0.0, 0.00025999795191968607, -0.0007084021290832841, 0.00044295283939710606]"
burgers,256,0.01,0.00699701718041512,1,WENDy-MLE L1=0.0001,0.08431534464904335,True,False,1,9,0,0.1,1.0,0.18181818181818182,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,0.9915893329889514,1.171035832958296,"[8.800629664291968e-05, -0.006140285022037992, 0.031122435331682602, -0.025361497485616544, 0.0, -0.005469173581663925, -0.4907606895385712, -0.003482320719870917, 0.0, 8.54093020999075e-05, -0.0004331385182694878, 0.0003857150294627602]"
burgers,256,0.01,0.00699701718041512,1,WENDy-MLE L1=0.01,0.03500943015877783,True,False,1,2,0,0.3333333333333333,1.0,0.5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,29,1.001255957991816,1.1807024579611607,"[0.00022614487347159378, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4850414816881674, -0.009088819418458993, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,2,WSINDy,5.642876056999313e-05,True,True,1,0,0,1.0,1.0,1.0,True,MSTLS support stable,4,0.002762041985988617,0.1832207089755684,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.499971785619715, 0.0, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,2,WENDy HT,0.0063186543488971125,True,True,1,0,0,1.0,1.0,1.0,True,IRLS step tolerance,4,0.925309832993662,1.1057684999832418,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5031593271744486, 0.0, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,2,WENDy L1=1e-06,0.007781541467437308,True,False,1,7,0,0.125,1.0,0.2222222222222222,True,IRLS step tolerance,26,0.9859121250046883,1.166370791994268,"[-6.928130343184592e-05, -0.0024464213884373095, 0.0, 0.0025461468638806003, 0.0, -0.0008256528396585218, -0.4992892174390813, 0.0, 0.0, -4.778135535610768e-05, -0.0008171507806890048, 0.0008991788611067082]"
burgers,256,0.01,0.00699701718041512,2,WENDy L1=0.0001,0.0005748814951751555,True,False,1,4,0,0.2,1.0,0.3333333333333333,True,IRLS step tolerance,21,0.9793110000027809,1.1597696669923607,"[-2.2262346053163424e-05, 0.0, 0.0, 2.9590329733419272e-05, 0.0, -0.00014966334275128587, -0.49975873463365345, 0.0, 0.0, 0.0, 0.0, 2.5355286359183216e-05]"
burgers,256,0.01,0.00699701718041512,2,WENDy L1=0.01,0.026684756807748195,True,False,1,2,0,0.3333333333333333,1.0,0.5,True,IRLS step tolerance,5,0.9304236249881797,1.1108822919777595,"[0.00024473091929003046, 0.0, 0.0, 0.0, 0.0, 0.0, -0.48804153395567784, -0.0059122126243990325, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,2,WENDy-MLE HT,0.006424004006610584,True,True,1,0,0,1.0,1.0,1.0,True,Optimization terminated successfully.,3,0.9604042499850038,1.1408629169745836,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5032120020033053, 0.0, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,2,WENDy-MLE L1=1e-06,0.28233007812564564,True,False,1,9,0,0.1,1.0,0.18181818181818182,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,70,1.1466387080145068,1.3270973750040866,"[-7.552342239184215e-05, 0.032848270348603714, -0.11174379716834157, 0.07898993231700316, 0.0, 0.005213291541279174, -0.5090666969816314, 0.0035978704890524678, 0.0, -0.00023698719448892174, 2.6608843654230145e-05, 0.0002883158230227772]"
burgers,256,0.01,0.00699701718041512,2,WENDy-MLE L1=0.0001,0.16038044291901515,True,False,1,9,0,0.1,1.0,0.18181818181818182,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,120,1.3249620830174536,1.5054207500070333,"[-2.0582294255894018e-05, -0.00010942230969973062, 5.120712012075969e-07, 0.00010880719014488031, 0.0, -0.0298657372928447, -0.43484303397751856, -0.03536070793078082, 0.0, -0.00019015154192368152, -0.004718331863396453, 0.004514024560997642]"
burgers,256,0.01,0.00699701718041512,2,WENDy-MLE L1=0.01,0.03399644689562404,True,False,1,2,0,0.3333333333333333,1.0,0.5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,39,1.0263286670087837,1.2067873339983635,"[0.00024250363063960491, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4853454075961235, -0.00860951298547821, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,3,WSINDy,0.00025654642988659493,True,True,1,0,0,1.0,1.0,1.0,True,MSTLS support stable,4,0.003052415995625779,0.18345849897013977,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4998717267850567, 0.0, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,3,WENDy HT,0.003406308400721203,True,True,1,0,0,1.0,1.0,1.0,True,IRLS step tolerance,5,0.9376315419794992,1.1180376249540132,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5017031542003606, 0.0, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,3,WENDy L1=1e-06,0.017717728070857128,True,False,1,8,0,0.1111111111111111,1.0,0.2,True,IRLS step tolerance,14,0.9663628750131465,1.1467689579876605,"[4.485023637481223e-05, 0.00013892675785849587, 0.0, -0.00018274720750905942, 0.0, -0.0010321789791480588, -0.4944362867819618, -0.004346867079130763, 0.0, -0.001550549704738599, 0.004243397990826746, -0.002664316188440991]"
burgers,256,0.01,0.00699701718041512,3,WENDy L1=0.0001,0.0028601692505116163,True,False,1,3,0,0.25,1.0,0.4,True,IRLS step tolerance,6,0.9611639159847982,1.1415699989593122,"[2.5511014549370654e-05, 0.0, 0.0, 0.0, 0.0, -0.0007382990983667837, -0.49879811158346127, -0.0002342432476519228, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,3,WENDy L1=0.01,0.028001795157692185,True,False,1,2,0,0.3333333333333333,1.0,0.5,True,IRLS step tolerance,5,0.9567504159931559,1.13715649896767,"[0.0003027958285747504, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4874919367956845, -0.006283454668920927, 0.0, 0.0, 0.0, 0.0]"
burgers,256,0.01,0.00699701718041512,3,WENDy-MLE HT,0.0027633821050407903,True,True,1,0,0,1.0,1.0,1.0,True,Optimization terminated successfully.,3,0.9645010409876704,1.1449071239621844,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5013816910525204, 0.0, 0.0, 0.0, 0.0, 0.0]"
