problem,grid,noise,sigma,seed,method,coefficient_error,strong_error,support_valid,support_exact,tp,fp,fn,precision,recall,f1,tpr,optimizer_success,status,iterations,fit_seconds,total_seconds,w,selected_terms,selected_strong
1D,32768,0,0.0,0,WSINDy,0.8368684538713909,0.8368684538713909,True,False,1,0,2,1.0,0.3333333333333333,0.5,0.3333333333333333,True,MSTLS support stable,2,0.0012076669954694808,0.005560751014854759,"[0.0, 0.0, 1.3178780068757145]",[2],[2]
1D,32768,0,0.0,0,WENDy HT,3.3270792068370655e-13,3.3270792068370655e-13,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,1,4.5249995309859514e-05,0.004398334014695138,"[-0.999999999999978, -0.9999999999995576, 0.9999999999996314]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0,0.0,0,WENDy L1=0.0001,0.0006797447646655421,0.0006797447646655421,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,2,0.0002809999859891832,0.004634084005374461,"[-0.9989186340000523, -0.9995854139072929, 1.0002119546677044]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0,0.0,0,WENDy-MLE HT,3.3270792068370655e-13,3.3270792068370655e-13,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,1,7.562502287328243e-05,0.004428709042258561,"[-0.999999999999978, -0.9999999999995576, 0.9999999999996314]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0,0.0,0,WENDy-MLE L1=0.0001,0.0006797447646655421,0.0006797447646655421,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,2,0.0003554999711923301,0.004708583990577608,"[-0.9989186340000523, -0.9995854139072929, 1.0002119546677044]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.01,0.0014875248455086098,0,WSINDy,0.8368704592430786,0.8368704592430786,True,False,1,0,2,1.0,0.3333333333333333,0.5,0.3333333333333333,True,MSTLS support stable,2,0.001127124996855855,0.005492209049407393,"[0.0, 0.0, 1.3178938449563995]",[2],[2]
1D,32768,0.01,0.0014875248455086098,0,WENDy HT,0.00012090845101400731,0.00012090845101400731,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,2,0.001109125034417957,0.005474209086969495,"[-1.0002061656207597, -0.9999914779033479, 0.999964227506863]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.01,0.0014875248455086098,0,WENDy L1=0.0001,0.0006312553640145662,0.0006312553640145662,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,3,0.0011480419780127704,0.005513126030564308,"[-0.9990474543584954, -0.9995045261912565, 1.0002064279765228]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.01,0.0014875248455086098,0,WENDy-MLE HT,0.00012091021454075592,0.00012091021454075592,True,True,3,0,0,1.0,1.0,1.0,1.0,True,Optimization terminated successfully.,2,0.0015453749801963568,0.0059104590327478945,"[-1.000206168315436, -0.9999914774655198, 0.9999642252595089]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.01,0.0014875248455086098,0,WENDy-MLE L1=0.0001,0.0006312554754514731,0.0006312554754514731,True,True,3,0,0,1.0,1.0,1.0,1.0,True,L1 KKT tolerance,26,0.0036576249985955656,0.008022709051147103,"[-0.9990474529440619, -0.9995045336538765, 1.0002064403835134]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.05,0.00743762422754305,0,WSINDy,0.8368784819699784,0.8368784819699784,True,False,1,0,2,1.0,0.3333333333333333,0.5,0.3333333333333333,True,MSTLS support stable,2,0.0011412500170990825,0.0055021250154823065,"[0.0, 0.0, 1.3179571995617108]",[2],[2]
1D,32768,0.05,0.00743762422754305,0,WENDy HT,0.0006046277068201593,0.0006046277068201593,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,2,0.000725375022739172,0.005086250021122396,"[-1.001030975799876, -0.999957417287244, 0.9998211156680757]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.05,0.00743762422754305,0,WENDy L1=0.0001,0.0003166676735982964,0.0003166676735982964,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,3,0.001072417013347149,0.005433292011730373,"[-0.9998721298118559, -0.9994704035058406, 1.000063340467827]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.05,0.00743762422754305,0,WENDy-MLE HT,0.0006046718055306123,0.0006046718055306123,True,True,3,0,0,1.0,1.0,1.0,1.0,True,Optimization terminated successfully.,2,0.0012304589617997408,0.005591333960182965,"[-1.001031043182248, -0.9999574063370624, 0.999821059469576]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.05,0.00743762422754305,0,WENDy-MLE L1=0.0001,0.0003166600590628604,0.0003166600590628604,True,True,3,0,0,1.0,1.0,1.0,1.0,True,L1 KKT tolerance,40,0.0072767920210026205,0.011637667019385844,"[-0.9998721893001788, -0.999470397990721, 1.0000633002037593]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.1,0.0148752484550861,0,WSINDy,0.8368885131681554,0.8368885131681554,True,False,1,0,2,1.0,0.3333333333333333,0.5,0.3333333333333333,True,MSTLS support stable,2,0.001123041962273419,0.005471250973641872,"[0.0, 0.0, 1.318036397945923]",[2],[2]
1D,32768,0.1,0.0148752484550861,0,WENDy HT,0.001209469104533245,0.001209469104533245,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,3,0.00077420799061656,0.0051224170019850135,"[-1.0020623209424184, -0.9999149040361553, 0.9996421766471273]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.1,0.0148752484550861,0,WENDy L1=0.0001,0.0006209446768449902,0.0006209446768449902,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,4,0.0011375420144759119,0.005485751025844365,"[-1.0009033064306228, -0.999427812636977, 0.9998844318854582]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.1,0.0148752484550861,0,WENDy-MLE HT,0.001209645560849224,0.001209645560849224,True,True,3,0,0,1.0,1.0,1.0,1.0,True,Optimization terminated successfully.,2,0.0012337500229477882,0.005581959034316242,"[-1.002062590562943, -0.9999148602094078, 0.999641951770898]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.1,0.0148752484550861,0,WENDy-MLE L1=0.0001,0.0006210915689166429,0.0006210915689166429,True,True,3,0,0,1.0,1.0,1.0,1.0,True,L1 KKT tolerance,29,0.004236625041812658,0.008584834053181112,"[-1.0009035587557942, -0.9994277740958232, 0.9998842273764886]","[0, 1, 2]","[0, 1, 2]"
1D,32768,0.2,0.0297504969101722,0,WSINDy,0.8369085848580278,0.8369085848580278,True,False,1,0,2,1.0,0.3333333333333333,0.5,0.3333333333333333,True,MSTLS support stable,2,0.0011845420231111348,0.005536167009267956,"[0.0, 0.0, 1.318194811754056]",[2],[2]
