problem,grid,noise,sigma,seed,method,coefficient_error,coefficient_linf,support_valid,support_exact,tp,fp,fn,precision,recall,f1,tpr,optimizer_success,status,iterations,fit_seconds,total_seconds,w,selected_terms,strong_error,selected_strong
signal,129,0.0,0.0,0,WSINDy,0.002494622371208705,1.0,True,True,3,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,2,0.0030922909500077367,0.04299441596958786,"[0.0, -0.999008703701574, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0009790780599281, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0008533813311478, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 9, 15]",0.0009433136443865015,"[1, 9, 15]"
signal,129,0.0,0.0,0,WENDy HT,0.00230940372022243,1.0,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,1,0.0001057089539244771,0.0400078339735046,"[0.0, -1.0000029601639453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9999894317634695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999987702576136, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 9, 15]",6.3760609648752e-06,"[1, 9, 15]"
signal,129,0.0,0.0,0,WENDy L1=0.0001,0.0026432456911617604,1.0,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,2,0.0005370829603634775,0.0404392079799436,"[0.0008874775643775644, -0.9988108374581012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001923935097634596, -0.9979871778570802, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0007927655682844, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 8, 9, 15]",0.0014252529338496052,"[1, 9, 15]"
signal,129,0.0,0.0,0,WENDy-MLE HT,0.00230940372022243,1.0,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,1,0.00011504202848300338,0.04001716704806313,"[0.0, -1.0000029601639453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9999894317634695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999987702576136, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 9, 15]",6.3760609648752e-06,"[1, 9, 15]"
signal,129,0.0,0.0,0,WENDy-MLE L1=0.0001,0.0026432456911617604,1.0,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,2,0.00037637498462572694,0.04027850000420585,"[0.0008874775643775644, -0.9988108374581012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001923935097634596, -0.9979871778570802, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0007927655682844, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 8, 9, 15]",0.0014252529338496052,"[1, 9, 15]"
signal,129,0.01,0.002772915808098303,0,WSINDy,0.006119276783994824,1.0,True,True,3,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,4,0.0036847920273430645,0.043495917052496225,"[0.0, -0.9968191393089896, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.007020167042678, 0.0, 0.0, 0.0, 0.0, 0.0, 1.006077550835943, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 9, 15]",0.005666781691171451,"[1, 9, 15]"
signal,129,0.01,0.002772915808098303,0,WENDy HT,1.9972748135249712,1801.0041800227539,True,False,0,3,3,0.0,0.0,0.0,0.0,True,IRLS step tolerance,4,0.11909812502563,0.15890925005078316,"[0.0, 0.0, 0.0, 0.0, -1.703731157224578, 0.0, 1.8020041800227538, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.6775846696127206, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 6, 13]",1.0,"[4, 6, 13]"
signal,129,0.01,0.002772915808098303,0,WENDy L1=0.0001,0.009030451088937422,10.534534758090366,True,True,3,0,0,1.0,1.0,1.0,1.0,True,IRLS step tolerance,5,0.12361404200783,0.16342516703298315,"[0.0, -0.9950271642664421, 0.011534534758090367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002708193684986181, -1.000885590554467, 0.0031334555634412236, 0.0, 0.0, 0.0, 0.0, 1.0071903580620931, 0.0002073899899169875, -0.0051122515463208566, 0.0, 0.0, 0.0]","[1, 2, 8, 9, 10, 15, 16, 17]",0.005073283451054118,"[1, 9, 15]"
signal,129,0.01,0.002772915808098303,0,WENDy-MLE HT,1.9897553403179038,1742.170413863979,True,False,0,3,3,0.0,0.0,0.0,0.0,True,Optimization terminated successfully.,3,0.15894058399135247,0.19875170901650563,"[0.0, 0.0, 0.0, 0.0, -1.6817865006001378, 0.0, 1.743170413863979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.7340795749609987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 6, 13]",1.0,"[4, 6, 13]"
signal,129,0.01,0.002772915808098303,0,WENDy-MLE L1=0.0001,0.009099093279485314,10.759176509185275,True,True,3,0,0,1.0,1.0,1.0,1.0,True,L1 KKT tolerance,82,0.2822509169927798,0.322062042017933,"[0.0, -0.9951266617897494, 0.011759176509185275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002594982949894938, -1.0009057308771188, 0.0033040088294339675, 0.0, 0.0, 0.0, 0.0, 1.0071022140121315, 0.00030595378551172227, -0.0051868082251443305, 0.0, 0.0, 0.0]","[1, 2, 8, 9, 10, 15, 16, 17]",0.005000373906265146,"[1, 9, 15]"
